在Psycho-Pass中，女主角常守朱所持的武器的英文名是？,Excalibur,Terminator,Dominator,Frostmourne,C
在《樱兰高校男公关部》中，男公关部最年长成员的外号是？,Honey前辈,殿下,孩子他妈,脑残吼,A
以下哪位角色的cv不是水濑祈？,《心欲呐喊》成濑顺,《干物妹小埋》金刚光,《比宇宙更远的地方》玉木真理,《线上游戏的老婆不可能是女生？》玉置亚子,D
以下哪一部动画电影与其余作品的监督不同？,夏日大作战,怪物之子,回忆中的玛妮,狼的孩子雨和雪,C
名侦探柯南中 安室透在黑暗组织的代号是？,Zero,Rye,Bourbon,Scotch,C
在《轻音少女》中，活动室中养的动物是什么？,兔子,猫,小猪,乌龟,D
《黑猫警长》中，每一集打四枪后出现的四个字是什么？,惩奸除恶,保卫人民,请看下集,未完待续,C
我的世界是以下哪个公司开发的,Mojang,Mojiang,Majong,Majiong,A
Angel beats里天使的武器是,Excalibur,Handsonic,妖刀丶五月雨,阿姆斯特朗炮,B
以下哪位角色不是声优中田让治配的？,《Fate/Zero》言峰绮礼,《Fate/Grand Order》咒腕之哈桑,《岩窟王》基督山伯爵,《Overwatch（日语版）》末日铁拳,B
《宇宙战舰提拉米斯》中，哥哥五十铃登场并将弟弟斯巴鲁带回自己的机甲时，他把什么忘在了提拉米斯上？,O毛,宇宙感觉,钥匙,眼罩,D
《家庭教师HITMAN REBORN!》中山本武持有的指环是？,雨之指环,雷之指环,岚之指环,雾之指环,A
动画《魔卡少女樱 透明牌篇》中第一张收集的透明牌是？,疾风GALE,包围SEIGE,水源AQUA,反射REFLECT,A
以下角色声优不是同一人的是：,木之本樱（魔卡少女樱）和 尼禄·克劳狄乌斯（Fate/EXTRA）,绚濑绘里（love live）和 御坂美琴（科学超电磁炮）,畑兰子（妄想学生会）和 白井黑子（科学超电磁炮）,梅利奥达斯 (七大罪) 和 雪音（野良神）,B
泽野弘之的核爆神曲是：,Perfect time,aLIEz,βίος,BRE@TH//LESS,B
《月刊少女野崎君》中，野崎的漫画中女主的个性是参照：,千代,鹿岛,堀,御子柴,D
《在下坂本，有何贵干？》中，坂本在一次联谊上提到自己的梦想是什么,进入NASA,开店,子承父业,成为顶级逼王,A
《猫眼三姐妹》中，以下哪一位不是猫眼的成员：,来生爱,来生瞳,来生海,来生泪,C
《少女终末旅行》中，千和尤莉遇到的猫状生物喜欢吃什么？,猫粮,红薯,压缩饼干,子弹,D
《命运石之门》中，嘟嘟噜扭出的乌帕是什么颜色的？,绿色,粉色,金属色,蓝色,A
《恶魔人cry baby》中，附身于不动明的恶魔是：,撒旦,槐梦,安蒙,死丽濡,C
《京骚戏画》中，女主筝的两个弟弟叫什么名字？,黑&白,阿&吽 ,京&都,可&牛,B
喜欢把绊爱称作“親分”（老大）的YouTuber是,nekomasu,电脑少女siro,輝夜月,Mirai Akari,C
《JoJo》第四部的反派经过换脸成为了川尻浩作，他的原名是什么？,迪亚波罗,喷上裕也,乙雅三,吉良吉影,D
《黄金神威》中，提到“好吃”在阿依努语里读作什么？,西塔库塔库,品那,欧索玛,索玛玛夫,B
NS的全称是？,Nintendo Switch,Nintendo Shield,Nintendo Sony,Nitedo Switch,A
《线上老婆》中亚子选择装备的依据是？,奶量,魔法攻击力,外观,无所谓,C
在《神知》里男主的掌机神似PSP，下列哪个选项是不存在于现实中的PSP的,方向键,嘎啦game,实体键盘,WiFi,C
请问狗头人【数据删除】剑第几集已经登录B站？,23,21,12,11,B
游戏《闪之轨迹》系列中谁不是结社的执行者？,马克邦,雪伦·克鲁格,怪盗绅士B,克洛·安布朗斯特,D
《七大罪》中以下角色谁的年龄最小？,黛安娜,班,玛琳,金,B
《黑塔利亚》中一下哪个国家不是恶友组成员,英国,法国,西班牙,普鲁士,A
以下哪个队伍在守望先锋联赛（Overwatch League）中代表城市首尔参战的,首尔王朝队,首尔猛虎队,首尔龙之队,首尔没有队,A
以下哪部动漫没有和手机游戏《阴阳师》联动,鬼灯的冷彻,怪化猫,滑头鬼之孙,地狱少女,D
在动漫《Darling in the Franxx》中，大家调侃的肥宅（原谅我不会形容他）的代号是？,214,〇56,556,326,A
《我的英雄学院》第三季中，差点和爆豪胜己一起被敌联合开辟行动队抓走的人是？,常暗踏阴,轰焦冻,欧鲁迈特,绿谷出久,A
《来自深渊》中出场的黎明卿受到观众们的追捧，他的称号是？,歼灭之波多尔多,神秘之波多尔多,不动如山之波多尔多,崭新之波多尔多,D
动画《阿松》中，被十四松视为家宝的是谁？,十四松,一松,圣泽庄之助,嫌味,C
动画《Megalo Box》中男主的名字是什么？,John,Joe,Joseph,矢吹丈,B
《邻座的怪同学》中，男主养的鸡叫什么名字？,名古屋,德拉酱,秋叶原,北海道,A
